episode,total_reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,-2041.34342142,-0.130456092441,0.257192798786,0.0,4.73332855593,2.66674276449,0.0,-0.0203617411637,1.42174757958,-2.82863326192,12.2582615917,18.3052683733,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
2,-1974.99133307,0.107959030347,-0.0461050016066,0.0,3.53795398197,1.20231604945,0.0,0.842069467136,-0.304361407631,-4.01457458026,14.407181294,17.5665723964,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
3,-1921.70421859,-0.0929632172938,0.116538069597,0.0,0.776932117249,3.32038956194,0.0,-0.589178398754,1.0651463616,-2.84817622313,11.4045426427,16.6299222472,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
4,-2003.38223216,0.183265703934,0.217814272571,0.0,1.62754461715,4.6256409225,0.0,0.741409187937,0.815892604952,-3.84854054919,11.6514710542,16.0122790473,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
5,-1624.74764017,-0.180298592265,-0.0175477906522,0.0,2.16077115692,2.53298545698,0.0,-0.53629071583,-0.170766087228,-3.43250012664,11.705496334,16.9762294728,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
6,-2073.76583963,-0.0452814876125,-0.100642975586,0.0,0.316836745427,3.07148430462,0.0,-0.238104123587,-0.757183375972,-3.65659879673,14.586610166,16.2144063574,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
7,-1527.80923147,-0.0482236194183,0.0452148993293,0.0,0.802936318934,5.21784754992,0.0,-0.551944686531,0.342064998937,-3.40888611467,10.2890764781,15.1169317189,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
8,-1955.46160959,0.0946004837905,0.0919962942938,0.0,5.1702124064,1.77653723129,0.0,0.317796327684,0.727879575697,-3.6589628128,12.5589132237,16.3935936809,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
9,-2067.6136681,-0.24596079921,0.0998080433,0.0,4.64351196797,6.1254820177,0.0,-0.94786427078,0.635417668673,-4.03677414415,12.7120294826,17.0847215737,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
10,-1553.67128042,-0.00997175619464,0.0752904459533,0.0,1.45897190563,1.44100854828,0.0,-0.295829857887,0.0922307191067,-3.42021911039,12.7272409476,12.5717109369,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
